Nodes	p_values	fdr_corrected_p_val	ASD_mean	ASD_sd	Healthy_mean	Healthy_sd
0	0.2877712667353202	0.3500054233658017	222.41772151898735	10.036410638013145	207.90588235294118	9.240520305273725
1	0.0003053306523867824	0.002436240886848971	196.11898734177214	9.79322275994611	150.00941176470587	8.10579257475786
2	0.0026068300352833484	0.007053775389590238	239.40506329113924	9.943230621141439	199.8964705882353	8.499792203736035
3	0.05283715783866207	0.08381066415787777	299.6481012658228	10.884908436830559	271.5952941176471	9.528956509315567
4	0.0072873027428398875	0.01596266315098261	169.4632911392405	8.043665058054087	140.1764705882353	7.3354201905062535
5	0.0019775158697047535	0.005685358125401167	271.1518987341772	10.542094838350422	228.7341176470588	8.694537863114434
6	9.818072256906949e-05	0.0016874510294002877	203.8227848101266	10.057533395036193	154.15529411764706	7.726881938936939
7	0.11672892991613423	0.16271305382249016	217.28354430379747	9.048619715174377	198.04470588235293	8.259466754503414
8	0.005637067835945668	0.013478052151303798	386.1848101265823	12.358498718668365	339.9764705882353	11.154004612426844
9	0.9298611325260353	0.950524713248836	196.19240506329115	8.907808634174867	195.15058823529412	7.788307766125722
10	0.0003651021152402328	0.002436240886848971	170.63037974683544	8.100630521096358	132.11058823529413	7.08394716589836
11	0.9729331637483739	0.9729331637483739	181.8860759493671	8.092578552346152	181.5035294117647	7.845383722488327
12	0.10199736582429426	0.146621213372423	130.05569620253164	7.807770804564074	113.11294117647058	6.792662105834306
13	0.6899356156265763	0.7212963254277843	162.93924050632913	7.701940690009167	167.3435294117647	7.904011346438435
14	0.04469502469127019	0.0761470791036455	258.7139240506329	9.083876917431365	233.6705882352941	8.52179483081314
15	0.005860022674479912	0.013478052151303798	270.4835443037975	9.893672545063998	234.55058823529413	8.440468279990892
16	0.037586603211092584	0.06649937491193304	147.86075949367088	8.193550865997667	126.92	5.823644483666741
17	0.021497177884567755	0.04120292427875487	216.07848101265822	9.127096530065264	188.2564705882353	7.908975445020217
18	0.36089164784470895	0.41502539502141533	177.91898734177215	7.62029801054717	188.07529411764705	8.084393781308247
19	0.28913491495435795	0.3500054233658017	129.21518987341773	7.441216746525432	118.73411764705882	6.500958247173096
20	0.0007320497784019459	0.003061299073317228	172.07088607594937	7.65953794891623	138.0964705882353	6.459932446869987
21	0.01857712115178013	0.03715424230356026	100.41518987341772	6.167341230464674	81.01882352941176	5.43914463788675
22	0.0015389859649863034	0.005445642645336151	125.73164556962026	6.466181158573861	96.95058823529412	6.340909738047464
23	0.0005960398995145693	0.002741783537767019	201.53924050632912	8.767516459509906	162.85176470588235	7.002957065746319
24	0.3478601794962156	0.41029662196989536	85.57721518987341	5.90100408619762	78.1364705882353	5.284856847806613
25	0.0005928469191169712	0.002741783537767019	135.65569620253166	7.933977538429848	101.46117647058824	5.941792952708053
26	0.000892221895182536	0.0034201839315330545	67.15696202531646	4.7424879935312125	46.995294117647056	3.7473823572683678
27	0.0018380355507930629	0.005636642355765393	179.126582278481	8.727393363238555	143.70823529411766	7.225667123410667
28	0.04764646449927114	0.07827633453451686	212.72151898734177	9.310473419394457	189.44	7.145002335869333
29	0.25342310455336386	0.3331623816184133	150.28101265822784	7.752008197673663	138.4964705882353	6.798864828498392
30	0.05959116783226344	0.0913731240094706	148.15443037974683	7.168380660494625	130.17176470588234	6.283200149054379
31	0.031180461627663827	0.057372049394901446	161.65569620253166	7.583946517298946	139.96235294117648	6.59399947419955
32	0.00015135873928187794	0.0017406255017415964	129.47341772151898	6.993759195098244	95.2235294117647	5.656201729618292
33	0.3863741940119475	0.433492998159746	178.93417721518986	8.321383906164893	169.18588235294118	7.567562617477684
34	0.44626596489669346	0.4774007996569279	103.5873417721519	6.186436972970905	97.12941176470588	5.79207420994042
35	0.40959803040745457	0.448607366636736	158.23037974683544	7.685574740075452	149.90823529411765	6.532865525250967
36	7.670230787726076e-06	0.0003528306162353995	139.95949367088608	6.649020970659454	101.24941176470588	5.443820414119269
37	0.0003707323088683217	0.002436240886848971	119.72911392405064	6.45054437107615	90.44	5.046548429806655
38	0.25349311644879274	0.3331623816184133	43.129113924050635	4.2428045647916495	36.96470588235294	3.331168575217455
39	0.003397582414995691	0.0086827106161001	207.87848101265823	8.09926613821861	176.82117647058823	6.791640749479289
40	0.062386234590130485	0.09257312229503234	159.48354430379746	7.444423069174658	140.65176470588236	6.812916366600533
41	0.26777687982687626	0.342159346445453	100.43037974683544	5.883061675034093	91.48470588235294	5.519209794102961
42	0.010185497935554464	0.021296950228886606	107.38227848101266	5.525931622615111	88.30823529411765	4.930377997530977
43	0.000496644034361645	0.002741783537767019	80.76455696202531	5.141110438215297	57.52	4.212209461323111
44	0.00011005115409132311	0.0016874510294002877	155.05569620253164	7.115262012709047	119.25176470588235	5.848819597453336
45	0.001657460418427987	0.005445941374834814	95.50886075949367	5.641056388806618	72.44941176470589	4.641300600825099
