term	freq	z_score	p_val	fdr_corrected
visual word	2	2.4853892808444975	0.01294098357078776	0.031083735047480406
word form	3	2.9561036704883463	0.003115523515713266	0.008773600705169544
faces	2	2.5842386611966246	0.009759423527972967	0.02465009035415853
fusiform gyrus	3	3.1177029914601406	0.0018226638177946532	0.0053801522332492776
reading	4	2.825329214046994	0.004723205971308267	0.012857616255228058
visual	13	6.257033558445102	3.9236900755803756e-10	8.739127895610837e-09
objects	7	5.221091864002953	1.7787127398665723e-07	2.0751648631776675e-06
recognition	2	2.4957038425287092	0.012570750564401267	0.031083735047480406
object	6	4.711651990669205	2.4571673229109045e-06	2.315407669666045e-05
ventral visual	3	2.9129333311567396	0.003580510354634768	0.009887353014695037
expertise	1	3.122929421559669	0.0017906068129637713	0.005349983770440536
repetition suppression	1	3.122929421559669	0.0017906068129637713	0.005349983770440536
ventral	2	4.519715690261751	6.1922732308544865e-06	4.8938933598688684e-05
passive viewing	1	3.122929421559669	0.0017906068129637713	0.005349983770440536
letter	3	5.83468867216037	5.389109615178596e-09	8.252074098242224e-08
visually	6	4.495326070632276	6.94634181102008e-06	5.157132556666423e-05
tools	3	4.01359761818423	5.9800254641294226e-05	0.00034072238109574617
gestures	3	2.380233328792817	0.01730167884784895	0.039989729412481065
intraparietal sulcus	12	7.224760057507492	5.01987365530303e-13	3.0586557776169274e-11
intraparietal	12	6.723518433373686	1.7738803065664022e-11	4.828896390097428e-10
ips	7	5.747835633992479	9.039304441799208e-09	1.230349771244892e-07
sulcus ips	9	7.195085698069743	6.24215464819781e-13	3.0586557776169274e-11
tasks	11	5.928848774787817	3.0506587200985106e-09	5.338652760172394e-08
task	9	5.225663270213526	1.7353191625336334e-07	2.0751648631776675e-06
sulcus	9	4.659594039569123	3.1683362435961016e-06	2.772294213146589e-05
superior parietal	11	6.980306686781459	2.9453638355823438e-12	1.1457889645736202e-10
color	2	3.1936612938834386	0.0014048083527396786	0.004609623572253473
shifting	2	3.292642500052685	0.0009925058759649439	0.003569891665494269
working memory	7	4.422778480961195	9.743963277737559e-06	6.820774294416292e-05
digit	1	3.4622265938284555	0.0005357259109594136	0.0020508257528915053
working	6	3.739916139779293	0.0001840816587727094	0.0009595746042407192
parietal cortex	12	7.822382644447668	5.1832768960161355e-15	1.2699028395239531e-12
anterior intraparietal	3	3.588432849704243	0.0003326716505407685	0.0014052509376291083
calculation	5	4.436878028169716	9.127297639294593e-06	6.577023298903458e-05
premotor	12	4.165007523867143	3.1134229703843745e-05	0.00018604600676687115
motor	10	2.9680849562955154	0.0029966149336543278	0.008536868124945468
actions	4	3.251344085800721	0.0011486075529592405	0.0039084562565974154
finger	7	3.770305147554003	0.0001630480633707713	0.000868408163605195
hand	8	3.513939566850933	0.0004415132477748544	0.0017169959635688784
action	7	4.102743145634033	4.082804257812873e-05	0.00023816358170575093
finger movements	7	4.780111126525875	1.7519832767777637e-06	1.7169436112422082e-05
movements	9	3.3113904819986772	0.0009283356957689506	0.00339466038005064
action observation	8	5.96145434656502	2.5000276871076877e-09	4.711590641087565e-08
sensory information	1	3.280961121737491	0.0010345400336738493	0.003569891665494269
