term	freq	z_score	p_val	fdr_corrected
retrieval	6	2.6868499412494824	0.007212934883645385	0.024435656952757834
parietal cortex	5	2.621832430662822	0.00874584210465002	0.029036195787438063
posterior parietal	4	2.7976787080261585	0.005147128459763761	0.018574420093930094
items	2	2.9254016841790467	0.0034401185872468295	0.012990185210547461
encoded	1	3.5118845842842465	0.0004449411814788552	0.0032415220024500707
parietal lobule	3	4.911505991740725	9.037952516475503e-07	3.000600235469867e-05
prefrontal parietal	2	2.9544171190100386	0.0031326028419712887	0.012990185210547461
parietal cortices	1	3.5118845842842465	0.0004449411814788552	0.0032415220024500707
lobule	3	4.911505991740725	9.037952516475503e-07	3.000600235469867e-05
parietal network	3	2.8980329188361056	0.0037551117366519354	0.013852189961871585
task	6	3.2775545139599807	0.0010471050910095322	0.005603441713027591
rules	3	4.436944279854131	9.124490026662471e-06	0.0001579577847752977
gain	3	2.6922489842874295	0.007097193868863563	0.024435656952757834
relational	1	3.486817278958291	0.0004888051963798146	0.0032415220024500707
cingulate	8	4.316167060128337	1.5876184365628082e-05	0.00023958605497220557
fronto	3	3.5510610708297077	0.00038368137660424196	0.0032415220024500707
cingulate cortex	5	3.1783257222979913	0.0014812823933386165	0.00702551077983458
anterior	5	2.708434674995792	0.006760141886729029	0.023876245812702524
happy	1	3.260047081982742	0.001113937208011509	0.005603441713027591
sad	1	3.260047081982742	0.001113937208011509	0.005603441713027591
anterior cingulate	6	3.9657560458577406	7.31636644584658e-05	0.0008675120214360946
anterior insula	5	3.0332685738428755	0.0024192018802096783	0.010853716543643421
cognitive control	2	3.220904861271766	0.0012778656077959134	0.006238990908650636
signal task	4	4.975664395969813	6.502422120466426e-07	3.000600235469867e-05
stop signal	4	4.86636709079991	1.136683029422713e-06	3.1448230480695064e-05
word pairs	1	4.185512933741636	2.8452286630767255e-05	0.0003633138139005665
track	1	4.185512933741636	2.8452286630767255e-05	0.0003633138139005665
anterior prefrontal	2	2.925124749968546	0.0034431816220728212	0.012990185210547461
behavior	1	3.4622265938284555	0.0005357259109594136	0.0032415220024500707
reward	3	2.980970988959007	0.0028733601188088097	0.01223019948005801
cortex acc	2	2.6049915420508483	0.0091876527952341	0.029904909098212955
stop	4	5.292125509411631	1.2090286793305542e-07	2.0069876076887197e-05
correct	1	3.4622265938284555	0.0005357259109594136	0.0032415220024500707
interpersonal	1	3.4622265938284555	0.0005357259109594136	0.0032415220024500707
dorsal anterior	2	3.017017249506788	0.002552752851279336	0.011151499297693941
striatal	2	4.427899330543012	9.515529203331186e-06	0.0001579577847752977
response inhibition	2	3.876542024921888	0.00010595151693867824	0.0011725301207880393
pharmacological	1	3.7316716273445554	0.0001902133491653537	0.0018573774094969833
nogo	1	3.7316716273445554	0.0001902133491653537	0.0018573774094969833
inhibition	2	5.06794661093408	4.021301527894231e-07	3.000600235469867e-05
caudate nucleus	2	4.561048919923	5.089871997090579e-06	0.00012070267878814803
punishment	1	3.486817278958292	0.0004888051963798135	0.0032415220024500707
fronto striatal	1	2.935197542821371	0.0033333540251365796	0.012990185210547461
conflict	2	3.078899512450107	0.0020776674838955075	0.00958035562018484
dacc	1	2.935197542821371	0.0033333540251365796	0.012990185210547461
errors	2	4.4772893035846915	7.559677506989896e-06	0.00015686330827004033
uncertainty	1	3.43809726745955	0.0005858172293584465	0.0032415220024500707
error	1	3.43809726745955	0.0005858172293584465	0.0032415220024500707
globus pallidus	1	3.43809726745955	0.0005858172293584465	0.0032415220024500707
pallidus	1	3.43809726745955	0.0005858172293584465	0.0032415220024500707
globus	1	3.43809726745955	0.0005858172293584465	0.0032415220024500707
